name,columns,rows,row_groups,columns_to_read,reading(μs),reading_p1(μs),reading_p2(μs)
cpp_fast,100,200000,1,100,81645,211,81434
cpp_fast,500,200000,1,100,76893,547,76346
cpp_fast,5000,200000,1,100,74487,4551,69592
cpp_fast,100,200000,2,100,68315,190,68125
cpp_fast,500,200000,2,100,64846,638,64208
cpp_fast,5000,200000,2,100,75230,5767,69297
cpp_fast,100,200000,5,100,72323,257,72066
cpp_fast,500,200000,5,100,67440,974,66466
cpp_fast,5000,200000,5,100,83225,9335,73266
cpp_fast,100,200000,10,100,66569,367,66148
cpp_fast,500,200000,10,100,63689,1613,62072
cpp_fast,5000,200000,10,100,81648,15776,65872
cpp_fast,100,200000,20,100,64947,598,64322
cpp_fast,500,200000,20,100,70947,2691,68196
cpp_fast,5000,200000,20,100,101992,27769,72912
cpp_fast,100,200000,50,100,69817,1332,68470
cpp_fast,500,200000,50,100,78539,6320,72116
cpp_fast,5000,200000,50,100,152689,70512,80201
cpp_fast,100,200000,100,100,84720,2573,81977
cpp_fast,500,200000,100,100,98983,12492,86491
cpp_fast,5000,200000,100,100,233249,136174,96849
cpp_fast,100,200000,200,100,111133,4723,106410
cpp_fast,500,200000,200,100,141481,24626,116855
cpp_fast,5000,200000,200,100,393186,268409,124777
